x,y,z,gene
963,1333,148,bc2
619,1699,149,bc2
647,1701,148,bc2
799,1617,148,bc2
800,1627,148,bc2
801,1647,148,bc2
905,1328,150,bc2
908,1311,148,bc2
909,1303,148,bc2
913,1309,148,bc2
914,1409,148,bc2
930,1311,150,bc2
939,1298,148,bc2
952,1304,148,bc2
968,1294,148,bc2
991,1488,148,bc2
614,1691,149,bc2
635,1702,149,bc2
805,1630,149,bc2
885,1294,149,bc2
885,1298,149,bc2
885,1348,149,bc2
893,1316,151,bc2
903,1298,150,bc2
911,1317,150,bc2
938,1323,150,bc2
935,1296,149,bc2
943,1311,151,bc2
947,1294,149,bc2
952,1328,149,bc2
629,1702,150,bc2
891,1345,150,bc2
897,1295,150,bc2
921,1333,150,bc2
949,1326,150,bc2
879,1309,152,bc2
907,1308,153,bc2
940,1300,151,bc2
945,1328,151,bc2
945,1335,151,bc2
624,1696,152,bc2
871,1302,152,bc2
909,1295,153,bc2
927,1326,152,bc2
936,1303,152,bc2
945,1324,153,bc2
874,1296,153,bc2
892,1302,153,bc2
895,1322,155,bc2
918,1309,153,bc2
929,1332,153,bc2
932,1296,153,bc2
951,1333,153,bc2
914,1304,154,bc2
919,1295,154,bc2
949,1313,155,bc2
913,1315,155,bc2
931,1303,155,bc2
